host_neighbourhood,accommodates,bathrooms,bedrooms,price,review_scores_rating,square_feet,number_of_reviews,reviews_per_month
Indische Buurt,2,1.5,1,150,96,0,9,0.75
Jordaan,2,1.5,1,87,98,269,394,32.83333333
Grachtengordel,4,1,3,229,97,1345,43,3.583333333
Indische Buurt,4,2.5,2,250,,215,0,0
Oud-West,5,1,3,200,93,1076,3,0.25
Jordaan,2,1,1,75,99,484,30,2.5
Bos en Lommer,4,1,2,140,93,0,102,8.5
Oud-West,3,1,2,120,,807,0,0
Oud-West,2,1,1,85,98,0,133,11.08333333
Grachtengordel,2,1,1,120,97,86,19,1.583333333
Bos en Lommer,4,1,2,80,100,753,4,0.333333333
Grachtengordel,3,1,2,110,,592,0,0
Grachtengordel,4,1.5,3,259,94,0,21,1.75
Grachtengordel,4,1,1,90,94,753,269,22.41666667
Grachtengordel,4,2,4,299,91,1830,58,4.833333333
Oosterparkbuurt,6,1,3,295,95,2153,27,2.25
De Pijp,4,1,2,180,96,603,26,2.166666667
Oud-West,2,1.5,1,88,96,969,9,0.75
Oud-West,2,1,1,100,90,915,24,2
Oud-West,2,1,1,79,92,0,27,2.25
Rivierenbuurt,2,1,1,139,95,753,55,4.583333333
Oud-West,4,1,3,399,96,0,29,2.416666667
Oud-West,4,1,1,199,96,0,59,4.916666667
Jordaan,2,1,2,75,89,700,11,0.916666667
Oud-West,4,2,2,200,93,0,19,1.583333333
Jordaan,4,1.5,2,200,98,1184,8,0.666666667
Oud-West,3,1,1,89,95,0,100,8.333333333
Oud-West,2,1,1,79,95,0,32,2.666666667
Grachtengordel,2,1,2,95,95,700,8,0.666666667
Oud-West,2,1,1,109,98,592,87,7.25
Oud-West,4,1.5,2,199,97,646,47,3.916666667
De Pijp,4,1,1,109,89,0,102,8.5
Grachtengordel,5,1,3,149,100,1076,7,0.583333333
Oud-West,4,1,3,185,95,0,21,1.75
Oud-West,2,1,1,99,97,753,32,2.666666667
Jordaan,2,1,1,90,90,0,178,14.83333333
Jordaan,2,1,1,115,97,0,112,9.333333333
Oud-West,3,1,1,75,85,0,147,12.25
De Pijp,2,1,1,170,95,0,38,3.166666667
Grachtengordel,2,1,1,179,97,753,14,1.166666667
Oosterparkbuurt,4,1,2,195,98,0,11,0.916666667
Oud-West,3,1,1,79,97,0,153,12.75
Bos en Lommer,3,1,2,300,94,0,4,0.333333333
Oud-West,2,1,1,78,98,0,388,32.33333333
Grachtengordel,2,1,1,125,98,377,216,18
Grachtengordel,2,1.5,1,110,93,538,88,7.333333333
Oud-West,2,1,1,51,98,129,127,10.58333333
Oud-West,2,1,1,121,84,538,10,0.833333333
Indische Buurt,2,1,1,128,97,861,26,2.166666667
Oud-West,4,1.5,2,160,95,700,4,0.333333333
Grachtengordel,2,1,1,90,95,0,34,2.833333333
De Pijp,2,1,1,119,98,431,41,3.416666667
De Pijp,2,1,1,95,90,355,46,3.833333333
Oud-West,2,1,1,140,94,0,61,5.083333333
Oud-West,4,1,1,200,97,484,8,0.666666667
Oud-West,2,1,1,60,94,129,162,13.5
De Pijp,2,1,1,121,92,0,3,0.25
Jordaan,4,1,3,150,92,0,5,0.416666667
Grachtengordel,4,1,1,95,96,592,43,3.583333333
Oud-West,2,1,1,165,100,861,4,0.333333333
Grachtengordel,2,1,1,115,95,0,12,1
Jordaan,4,1,2,150,92,861,155,12.91666667
Jordaan,2,1,1,99,96,538,113,9.416666667
De Pijp,2,1,1,95,96,409,323,26.91666667
De Pijp,2,1,1,87,87,0,68,5.666666667
De Pijp,4,1,2,200,92,861,29,2.416666667
De Pijp,5,1.5,3,179,98,0,18,1.5
Oud-West,2,1,1,85,96,183,333,27.75
Oud-West,4,1,2,215,99,915,34,2.833333333
